5241326		6706531005167144602
9999999		6709740872643725655
1000		6706852804586020
81746		6706118526343789
81819		6304375703232378139
54630		67096957809534915
14292		6706079659982118
97569		6709338698176272627
51146		6304638324814745836
98140		6771748620492213
26416		67094607549931309
21401		6771995069932971296
36398		6706478553953268
39112		67711721227220415
33399		670948063848387810
78817		63049366579851060
51722		67715373336174459
77027		63047276542121974
45138		6706402939373983
62802		63043677394959268
63849		63045975378208589
30103		630462008772621221
67567		6706473359728036611
44344		6709802999716939
70780		6709775519006397
68518		677163845757657362
56176		67060357012103271
29631		6771438723299067
76466		6706011315885917059
33050		6304222519842732480
48448		67099170769360076
16400		6771484735729998
59418		6706311813510208
21350		6706145760508955151
74845		6706965183219425
84419		630460616476074034
14964		6709943809982202
13101		630423193809276351
44866		63049158587677508
22485		670926867896899666
50873		6706861910507184
26487		670693319277073876
45562		67064562281386459
69862		67099523932110192
68853		6706674131369497148
70040		6706725954385486
60253		67713611125251109
92550		6304151123728256808
45905		677148269384535646
73284		677152674957782470
54974		6706388547922468101
63867		677167341308181553
64133		677183347130386104
40548		677173418548456607
8994		6304605952083372
90995		670977250668207764
4441		67066553602132068
28343		6771625340416347024
71543		67066002362586881
49581		67066961312838173
65282		6771096696823170
86004		6304601070794812202
71843		6706660536405736
13620		677154165136820743
8652		6706470131677170
30720		6706093534185544857
87928		67068375399456262
19653		670644489821787220
78820		677158586025971600
71285		6709523003925612840
40985		670996182118199894
24676		6771591605531144989
82423		630488661889078873
95450		677125895448562056
6503		6304191852741716
9289		630496311206655215
86173		6709784875738486
68215		6304909972084158
27536		630403885570456195
99114		670675876763971493
57206		677168847494530154
31358		630418295872170317
46936		6709659506090533
33184		630491409605478547
44976		6709680249845846385
19879		6709795891845634
97069		6304107909408851
70466		67711019188778855
24280		67062663770770187
74596		6709353454473343
78872		6304264780328029
98474		6771276070605159888
27732		67068355834876670
46141		67096103283888945
65768		6709201147620017687
67465		677112615899688621
62751		67715756123434609
43773		630466683831738616
94194		6706784441674009711
5458		6304768696014390
